时间,关键词,表情,内容
20161201,减肥,[污],是该减肥了[污] ​
20161201,减肥,"[愤怒],[难过]",不管怎么样，我都要减肥🙃🙃因为肉长在脸上不能忍[愤怒][愤怒][愤怒][愤怒]已经长了5斤了[难过][难过][难过] 新乡·新乡学院 秒拍视频 . ​
20161201,减肥,[萌],【经常运动，适当减肥】保持健康的体重可以降低患乳腺癌、前列腺癌、肺癌、结肠癌和肾癌等的风险，经常让身体动一动，除了能帮你控制体重，其本身就能降低患乳腺癌和结肠癌的风险。总的来说，每天至少保证30分钟的运动时间，一周至少要有150分[萌]钟左右低强度的有氧运动，或是75分钟中等强度的有氧运 ​
20161201,减肥,"[微笑],[伤心],[二哈]","见过这样劝人健身减肥的么[二哈]曾经说过，想追到男神，这样就能跟老师做一家人了。现在男生说这话，大概就是在暗示我吧[微笑]""快去睡你的同学们别来搞我""[伤心] ​"
20161201,减肥,[摊手],现在是活了二十多年体重最重的时候，等我再胖胖我就减肥，现在没心情[摊手][摊手][摊手]反正别人也看不出我哪胖了[摊手][摊手][摊手] ​
20161201,减肥,[微笑],[微笑]维密秀看了吗？还不快去减肥[doge][doge]（虽然我只是输在身材[haha]） ​
20161201,减肥,[眼泪],怪不得减肥不成功[眼泪] ​
20161201,减肥,[挤眼],自拍来啦，请大家自动忽略我的大脸[挤眼] 正在努力减肥中 ​
20161201,减肥,[白眼],跟朋友聊天问我什么时候最开心！其实在广州的那几年挺开心的，有工作没压力，有志趣相投的朋友，打扮的漂漂亮亮去逛街吃东西就只为自己开心！减肥也是为自己开心！那时候真的觉得爱情就是累赘，有朋友就可以了！除了工作就是做自己高兴的事情！现在想想爱情并不是必须品[白眼] ​
20161201,减肥,[祈祷],出差前夜～但愿不会影响我的减肥计划，千万不要偶遇美食，拜托拜托～[祈祷] ​
20161201,减肥,[呲牙],早上带着王小猫翘课，难得好天气去公园晒太阳。她对沙子不再害怕陌生，很认真的玩。好天气孩子就应该在大自然里，玩个沙子、刨个土、草坪上拔拔草、也可以撅起屁股晒晒太阳（图八）。当然了，她的妈妈，我，为了减肥，全程都是推着婴儿车慢跑，这也没谁了。[呲牙] ​
20161201,减肥,"[不要],[呵呵]",减肥之后对脸部的影响。。。。看完问了自己一句你丫还敢大吃大喝吗？喝了口水干脆的蹦出一个字“敢”[呵呵][不要] ​
20161201,减肥,[闭眼],hp+普通班+定制2+DAY4，踩点还是有问题，节奏跟不上，汗水也不多，今晚有点贪吃了[闭眼]@减肥明星赵奕然 ​
